Flipper;🎯 Skillshot (wo?);🎯Eröffnungsstrategie ;🎮 Modus (welchen wählen?);📍 Modus starten (wo?);🔒 Lock qualifizieren (wie?);🔒 Ball locken (wo?);🎯 Multiball starten;🔘 Action-Button;🔄 Alternative;⚠️ Gefährlicher Schuss;💡 Tipp
;Aktualisierung stand 05.08.2026;;;;;;;;;;
Guardians of the Galaxy Pro;Standard: Ball mit normaler Abschussstärke durch den blinkenden Orbit (Außenbahn links oder rechts, je nach Anzeige) spielen. Super Skillshot: Sofort nach dem Abschuss die blinkende rechte Rampe oder den rechten Orbit treffen, bevor der Ball weitere Schalter auslöst.;1. Den Ball in den Orb-Scoop (Loch links der Spielfeldmitte unter der schwebenden Kugel) schießen und Quill's Quest wählen. 2. Den großen Groot-Kopf in der Mitte des Spielfelds treffen. 3. Groot öffnet den Mund – der Lock leuchtet. 4. Den Ball in den geöffneten Groot-Mund schießen. 5. Nach jedem Lock Groot erneut treffen und insgesamt 3 Locks sammeln. Danach startet der Groot-Multiball automatisch.;Quill's Quest (beste Standardwahl). Alternativ Knowhere oder Escape Kyln, wenn dir deren Schüsse besser liegen.;Orb-Scoop – Loch links der Spielfeldmitte direkt unter der schwebenden Orb-Kugel. Hier werden alle Modi ausgewählt und gestartet.;Den großen Groot-Kopf in der Spielfeldmitte treffen. Dadurch öffnet sich der Mund und der Lock wird aktiviert. Nach jedem Lock erneut Groot treffen.;Geöffneter Groot-Mund in der Mitte des Spielfelds. Der Ball wird dort festgehalten.;Startet automatisch nach dem 3. Lock.;Hadron Enforcer: Nur drücken, wenn ein schwieriger Schuss (z. B. Groot-Mund, Rocket-Shot oder ein Jackpot im Multiball) sicher getroffen werden soll. Den Button möglichst für wichtige Schüsse oder den Multiball aufheben.;Ist Groot schwer zu treffen, lieber den gewählten Modus weiterspielen und den Hadron Enforcer für einen späteren Lock oder Jackpot aufheben.;Rocket-Shot (Schuss unten rechts neben dem rechten Flipper) – Fehlschüsse laufen häufig direkt zwischen die Flipper (SDTM).;Groot-Multiball ist der einfachste Weg zu vielen Punkten. Den Rocket-Shot nur aus kontrollierter Balllage spielen und den Hadron Enforcer nicht für einfache Schüsse verschwenden.
Atlantis;Ball mit normaler Abschussstärke durch die blinkende obere Einlaufbahn spielen.;1. Alle drei „1“-Targets treffen. 2. Den Ball in das U-Boot links oben unter der Rampe schießen und locken. 3. Danach alle „2“-Targets treffen und erneut locken. 4. Anschließend alle „3“-Targets treffen und den dritten Lock holen. 5. Der Multiball startet automatisch. 6. Während des Multiballs die linke Schleife (Orbit) für Jackpots spielen.;Keine Moduswahl vorhanden.;–;Immer alle drei Targets der aktuellen Zahl (1 → 2 → 3) vollständig treffen. Erst danach wird der Lock freigeschaltet.;U-Boot links oben unter der Rampe. Der Ball verschwindet dort und wird gespeichert.;Startet automatisch nach dem 3. Lock.;–;Sind die Locks noch weit entfernt, lieber die linken Drop-Targets für Awards wie Bonus X, Hold Bonus oder Million Lit spielen.;Linke Rampe bzw. linke Schleife – Fehlschüsse kommen oft schnell zum rechten Flipper zurück.;Nicht nur auf den Multiball spielen. Die Drop-Targets liefern häufig wertvolle Awards und sind oft der sicherere Weg.
No Fear;Direkt nach dem Abschuss die Jump Ramp (linke Rampe) treffen – das bringt den 50-Millionen-Skillshot.;1. Die Raceway-Schleife (innere linke Schleife) 5-mal treffen. 2. Im Skull-Scoop (Loch unter dem Totenkopf in der Spielfeldmitte) eine Challenge starten. 3. Das Skydive-Drop-Target (einzelnes Klappziel in der Mitte) treffen – der Lock leuchtet. 4. Den Ball in den leuchtenden Lock schießen. 5. Insgesamt 3 Locks sammeln – danach startet der Multiball automatisch.;Möglichst früh eine Challenge starten.;Skull-Scoop – Loch in der Mitte des Spielfelds direkt unter dem Totenkopf.;Das Skydive-Drop-Target in der Spielfeldmitte treffen. Danach ist der Lock aktiv. Insgesamt 3 Locks bis zum Multiball.;Skydive links oben oder Skull-Scoop, je nachdem welcher Lock leuchtet.;Startet automatisch nach dem 3. Lock.;–;Ist der Multiball noch weit entfernt, lieber Challenges weiterspielen.;Jump Ramp – Fehlschüsse laufen häufig direkt zwischen die Flipper zurück.;Den 50-Millionen-Skillshot mitnehmen, wenn du ihn sicher triffst. Challenges bringen oft schneller Punkte als ein langer Multiball-Aufbau.
Dirty Harry;Beim Ballstart Load Gun auswählen und anschließend das HQ (Loch oben in der Spielfeldmitte) treffen.;1. Im HQ einen Modus starten. 2. Alle 5 Badges sammeln (HQ, linke Rampe, Safe House, Warehouse und rechte Rampe). 3. Danach die Pistole laden. 4. Den leuchtenden Gun-Schuss treffen – der Multiball startet.;Barroom Brawl (beste Wahl). Alternativ Warehouse Raid.;HQ – Loch oben in der Mitte des Spielfelds.;Alle fünf Badges jeweils einmal einsammeln.;Linke Rampe oder Warehouse, je nachdem wo die geladene Gun angezeigt wird.;Nach dem erfolgreichen Gun-Schuss startet der Multiball.;Gun-Trigger: Erst drücken, wenn LOAD GUN oder FIRE angezeigt wird. Dadurch wird der geladene Schuss ausgelöst. Nicht für kleine Awards verschwenden.;Ist der Multiball noch weit entfernt, lieber Modi weiterspielen und Badges nebenbei sammeln.;Linke Rampe – enger Schuss mit schnellem Rücklauf auf den rechten Flipper.;Zuerst immer Load Gun wählen und früh einen Modus starten.
Doctor Who;Je nach blinkender Lampe entweder die Loop-Rampe oben rechts (lange Rampe zurück zum linken Flipper) oder den Time Expander (große Konstruktion mit drei Ebenen in der Spielfeldmitte) direkt nach dem Abschuss treffen.;1. Zu Beginn Dr. 6 auswählen. 2. Die Loop-Rampe oben rechts 3-mal treffen – dadurch wird das gesamte Spielfeld 4× wertvoller. 3. Zwei Bälle im Time Expander locken. 4. Anschließend die Targets im Time Expander treffen, bis sich die Dalek Gates (oberste Ebene) öffnen. 5. Den Ball in die oberste Ebene schießen – der Multiball startet.;Dr. 6 (beste Standardwahl). Alternativ Dr. 2, wenn dir die Loop-Rampe schwerfällt.;Time Expander – große dreistöckige Konstruktion in der Mitte des Spielfelds.;Für den ersten Multiball sind 2 Locks sofort verfügbar. Danach müssen die Locks erneut aktiviert und insgesamt 15 Target-Treffer gesammelt werden.;Linkes oder rechtes Lock-Loch in der mittleren Ebene des Time Expanders.;Dalek Gates – oberste Ebene des Time Expanders.;–;Sind die Loop-Schüsse zu riskant, lieber Dr. 2 wählen und den einfacheren Weg spielen.;Time Expander – Fehlschüsse laufen häufig direkt zwischen die Flipper zurück (SDTM). Ausgeworfene Lock-Bälle können zusätzlich gefährlich werden.;Dr. 6 ist die beste Standardwahl. Dr. 7 erst kurz vor dem Target Mode wählen, weil er zusätzliche Target-Treffer schenkt.
The Shadow;Den Sanctum-Scoop treffen (Loch oben rechts direkt unter dem oberen rechten Flipper).;1. Zu Spielbeginn ist der erste Lock bereits aktiv. 2. Den Ball hinter die Wall (bewegliche senkrechte Wand in der Spielfeldmitte) schießen. Der Magnet zieht den Ball hinter die Wand und speichert ihn. 3. Anschließend die Wall erneut treffen, damit der nächste Lock leuchtet. 4. Insgesamt 3 Locks sammeln – danach startet der Shadow Multiball automatisch.;Keine Moduswahl nötig. Fokus auf Shadow Multiball oder Khan Multiball.;Sanctum-Scoop (Loch oben rechts).;Nach dem ersten Lock muss die Wall in der Spielfeldmitte erneut getroffen werden, damit der nächste Lock aktiviert wird.;Hinter der Wall – der Magnet zieht den Ball hinter die bewegliche Wand und speichert ihn.;Startet automatisch nach dem 3. Lock.;–;Ist die Wall zu riskant, lieber Rampen, Loop-Kombinationen oder Khan Multiball spielen.;Wall/Sanctum – Magnet-Abpraller können den Ball unkontrolliert Richtung Mitte oder direkt zwischen die Flipper werfen.;Rampen und Combos sind oft sicherer als riskante Wall-Schüsse.
The Getaway;Die blinkende Freeway-Lane (linke oder rechte obere Einlaufbahn) direkt nach dem Abschuss treffen.;1. Über linke Rampe, rechte Rampe und Supercharger RPM sammeln. 2. Immer schalten, sobald SHIFT GEARS leuchtet. 3. Den 3. Gang erreichen und den Video Mode spielen. 4. Danach den Supercharger und schließlich Redline Mania erreichen. Parallel die Stoplights für den Multiball sammeln.;Keine Moduswahl vorhanden.;–;Für Run the Red Light müssen Grün → Gelb → Rot jeweils vollständig gesammelt werden (je 3 Treffer). Danach leuchtet der Lock.;Linke Schleife (Loop) oder innerer linker Loop, wenn LOCK leuchtet.;Startet automatisch nach dem 3. Lock.;–;Fehlen noch viele Stoplights, lieber RPM sammeln und höhere Gänge erreichen.;Supercharger-Eingang (ganz rechts) – Fehlschüsse kommen oft sehr schnell zum rechten Flipper zurück.;Sofort schalten, wenn SHIFT GEARS leuchtet. Video Mode, Supercharger und Redline Mania bringen zuverlässig viele Punkte.
The Addams Family;Den Ball durch die blinkende Skillshot-Lane (obere Einlaufbahn) direkt nach dem Abschuss spielen.;1. Linke Rampe treffen. 2. Danach den Electric Chair (Loch oberhalb des linken Flippers) schießen und einen Mansion Room sammeln. 3. Rampe und Chair abwechselnd spielen. 4. Erst wenn GREED fast abgeschlossen ist, den Multiball vorbereiten.;Keine Moduswahl. Mansion Rooms priorisieren.;Electric Chair (Loch oberhalb des linken Flippers).;GREED wird durch 5 Treffer auf das Bookcase (Bücherregal oben in der Spielfeldmitte) abgeschlossen. Danach öffnet sich der Vault.;Vault (hinter dem geöffneten Bookcase) oder Thing Eject (oben links), je nach Spielsituation.;Nach 2 Locks über Electric Chair oder Vault.;–;Ist GREED noch weit entfernt, konsequent Mansion Rooms sammeln.;Vault und Thing-Flipper – Fehlschüsse laufen häufig Richtung rechte Outlane.;Die einfache Folge Rampe → Chair → Rampe → Chair ist die konstanteste Strategie.
Fish Tales;Direkt nach dem Abschuss den Caster's Club treffen (Loch oben in der Spielfeldmitte).;1. Den Long Cast (rechter Orbit) schießen. 2. Danach den Captive Ball (gefangene Kugel in der Spielfeldmitte) treffen und Awards einsammeln. 3. Das Drop-Target vor dem Caster's Club herunterklappen. 4. Insgesamt 3 Bälle im Caster's Club locken – danach startet der Multiball automatisch.;Keine Moduswahl vorhanden.;–;Zuerst das Drop-Target vor dem Caster's Club treffen. Danach insgesamt 3 Locks sammeln.;Caster's Club (Loch oben in der Spielfeldmitte). Der Ball wird dort gespeichert.;Startet automatisch nach dem 3. Lock.;–;Sind gute Awards oder Instant Multiball am Captive Ball verfügbar, diese zuerst mitnehmen.;Caster's Club – enger Schuss. Fehlschüsse kommen häufig schnell zum rechten Flipper zurück.;Long Cast und Captive Ball liefern konstant gute Punkte. Instant Multiball fast immer sofort mitnehmen.
